shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
68902005,44.983472,-93.278596,10001,0.000
68902005,44.983440,-93.278495,10002,8.724
68902005,44.983258,-93.277913,10003,58.884
68902005,44.983180,-93.277721,10004,76.333
68902005,44.983111,-93.277608,10005,88.090
68902005,44.983074,-93.277559,10006,93.733
68902005,44.983004,-93.277470,10007,104.211
68902005,44.982997,-93.277460,10008,105.319
68902005,44.982945,-93.277386,10009,113.532
68902005,44.982927,-93.277361,10010,116.341
68902005,44.982611,-93.276925,20002,165.491
68902005,44.981976,-93.276009,20003,266.483
68902005,44.981750,-93.275685,20004,302.313
68902005,44.981663,-93.275560,20005,316.122
68902005,44.981578,-93.275442,20006,329.383
68902005,44.981468,-93.275289,20007,346.560
68902005,44.981382,-93.275171,20008,359.900
68902005,44.981263,-93.274957,20009,381.343
68902005,44.981207,-93.274819,20010,393.881
68902005,44.981081,-93.274645,20011,413.487
68902005,44.980436,-93.273661,20012,519.135
68902005,44.980360,-93.273596,20013,529.016
68902005,44.980099,-93.273225,20014,570.217
68902005,44.979674,-93.272620,30002,637.358
68902005,44.979632,-93.272496,30003,648.195
68902005,44.979553,-93.272335,30004,663.633
68902005,44.979295,-93.271710,30005,720.662
68902005,44.978835,-93.270621,30006,820.618
68902005,44.978553,-93.269954,30007,881.856
68902005,44.978252,-93.269243,40002,947.155
68902005,44.977676,-93.267885,40003,1071.939
68902005,44.977099,-93.266517,40004,1197.459
68902005,44.977041,-93.266427,40005,1207.048
68902005,44.976811,-93.265889,40006,1256.588
68902005,44.976552,-93.265285,50002,1312.250
68902005,44.976520,-93.265158,50003,1322.880
68902005,44.975943,-93.263802,50004,1447.589
68902005,44.975365,-93.262441,50005,1572.694
68902005,44.974801,-93.261066,50006,1697.963
68902005,44.974768,-93.260948,50007,1707.968
68902005,44.974761,-93.260883,50008,1713.154
68902005,44.974760,-93.260821,50009,1718.046
68902005,44.974762,-93.260761,50010,1722.784
68902005,44.974774,-93.260649,50011,1731.719
68902005,44.974806,-93.260511,50012,1743.170
68902005,44.975017,-93.259692,50013,1811.898
68902005,44.975213,-93.258928,60002,1875.979
68902005,44.975312,-93.258555,60003,1907.391
68902005,44.975341,-93.258333,60004,1925.196
68902005,44.975355,-93.258152,60005,1939.558
68902005,44.975354,-93.258037,60006,1948.630
68902005,44.975335,-93.257887,60007,1960.649
68902005,44.975301,-93.257750,60008,1972.097
68902005,44.975047,-93.257136,60009,2028.156
68902005,44.974714,-93.256343,60010,2100.835
68902005,44.974365,-93.255530,60011,2175.782
68902005,44.974298,-93.255402,60012,2188.328
68902005,44.974166,-93.255167,60013,2211.967
68902005,44.974073,-93.255036,60014,2226.582
68902005,44.973959,-93.254909,60015,2242.733
68902005,44.973789,-93.254766,60016,2264.737
68902005,44.973626,-93.254650,60017,2285.032
68902005,44.973143,-93.254325,60018,2344.516
68902005,44.972977,-93.254213,60019,2364.970
68902005,44.972761,-93.254060,60020,2391.838
68902005,44.971805,-93.253393,60021,2510.395
68902005,44.971775,-93.253372,70002,2514.118
68902005,44.971511,-93.253114,70003,2549.825
68902005,44.971293,-93.252892,70004,2579.718
68902005,44.971147,-93.252684,70005,2602.794
68902005,44.971067,-93.252518,70006,2618.622
68902005,44.970981,-93.252284,70007,2639.409
68902005,44.970923,-93.252070,70008,2657.479
68902005,44.970889,-93.251903,70009,2671.184
68902005,44.970872,-93.251700,70010,2687.309
68902005,44.970872,-93.251589,70011,2696.066
68902005,44.970879,-93.251329,70012,2716.591
68902005,44.970951,-93.250947,70013,2747.770
68902005,44.971143,-93.250022,70014,2823.796
68902005,44.971283,-93.249398,70015,2875.421
68902005,44.971594,-93.248057,70016,2986.710
68902005,44.971696,-93.247604,70017,3024.200
68902005,44.971761,-93.247241,70018,3053.732
68902005,44.971790,-93.247109,70019,3064.633
68902005,44.971774,-93.246982,70020,3074.808
68902005,44.971922,-93.246114,70021,3145.228
68902005,44.971986,-93.245737,70022,3175.806
68902005,44.971962,-93.245882,70023,3187.551
68902005,44.971922,-93.246114,70024,3206.385
68902005,44.971790,-93.247109,70025,3286.235
68902005,44.971774,-93.246982,70026,3296.410
68902005,44.971922,-93.246114,70027,3366.830
68902005,44.971962,-93.245882,80002,3385.664
68902005,44.971986,-93.245737,80003,3397.409
68902005,44.972021,-93.245528,80004,3414.349
68902005,44.972085,-93.245197,80005,3441.411
68902005,44.972140,-93.245117,80006,3450.196
68902005,44.972611,-93.242451,80007,3666.919
68902005,44.972785,-93.241414,80008,3750.976
68902005,44.972915,-93.240665,80009,3811.801
68902005,44.973316,-93.238435,80010,3993.269
68902005,44.973410,-93.237903,80011,4036.515
68902005,44.973500,-93.237274,80012,4087.131
68902005,44.973600,-93.236679,80013,4135.364
68902005,44.973606,-93.236524,80014,4147.609
68902005,44.973622,-93.234418,80015,4313.746
68902005,44.973644,-93.234194,80016,4331.584
68902005,44.973662,-93.233850,80017,4358.794
68902005,44.973671,-93.231895,80018,4513.013
68902005,44.973675,-93.231067,80019,4578.330
68902005,44.973678,-93.230294,90002,4639.307
68902005,44.973687,-93.228690,90003,4765.839
68902005,44.973685,-93.228407,90004,4788.164
68902005,44.973683,-93.227834,90005,4833.365
68902005,44.973674,-93.227351,90006,4871.478
68902005,44.973666,-93.227115,90007,4890.116
68902005,44.973617,-93.226441,90008,4943.561
68902005,44.973610,-93.225652,90009,5005.805
68902005,44.973613,-93.224088,90010,5129.178
68902005,44.973612,-93.223988,90011,5137.067
68902005,44.973616,-93.223903,90012,5143.787
68902005,44.973686,-93.223754,90013,5157.882
68902005,44.973781,-93.223600,90014,5173.976
68902005,44.974140,-93.223326,90015,5219.351
68902005,44.974250,-93.223244,90016,5233.181
68902005,44.974775,-93.222813,90017,5300.708
68902005,44.975179,-93.222482,100002,5352.645
68902005,44.975385,-93.222333,100003,5378.379
68902005,44.975498,-93.222250,100004,5392.541
68902005,44.975561,-93.222141,100005,5403.629
68902005,44.975600,-93.222024,100006,5413.825
68902005,44.975609,-93.221914,100007,5422.559
68902005,44.975586,-93.221776,100008,5433.741
68902005,44.975538,-93.221612,100009,5447.734
68902005,44.975197,-93.220755,100010,5525.232
68902005,44.974953,-93.220164,100011,5579.163
68902005,44.974093,-93.217985,100012,5775.831
68902005,44.973363,-93.216155,100013,5941.420
68902005,44.973200,-93.215706,100014,5981.202
68902005,44.973088,-93.215487,100015,6002.495
68902005,44.972969,-93.215355,100016,6019.327
68902005,44.972890,-93.215309,100017,6028.826
68902005,44.972772,-93.215268,100018,6042.333
68902005,44.972284,-93.215260,100019,6096.569
68902005,44.971752,-93.215266,100020,6155.692
68902005,44.971302,-93.215271,110002,6205.703
68902005,44.971180,-93.215255,110003,6219.319
68902005,44.971102,-93.215225,110004,6228.305
68902005,44.971031,-93.215142,110005,6238.558
68902005,44.970971,-93.215067,110006,6247.472
68902005,44.970900,-93.214956,110007,6259.259
68902005,44.970843,-93.214855,110008,6269.438
68902005,44.970589,-93.214257,110009,6324.413
68902005,44.970010,-93.212753,110010,6459.385
68902005,44.969161,-93.210717,110011,6645.663
68902005,44.968430,-93.208843,110012,6814.352
68902005,44.968322,-93.208561,110013,6839.630
68902005,44.968215,-93.208396,110014,6857.261
68902005,44.967442,-93.206460,110015,7032.495
68902005,44.967147,-93.205721,110016,7099.381
68902005,44.966859,-93.204998,120002,7164.786
68902005,44.966816,-93.204810,120003,7180.368
68902005,44.966167,-93.203186,120004,7327.396
68902005,44.965966,-93.202647,120005,7375.429
68902005,44.965767,-93.202177,120006,7418.603
68902005,44.965624,-93.201830,120007,7450.258
68902005,44.965443,-93.201382,120008,7490.925
68902005,44.965368,-93.201186,120009,7508.492
68902005,44.964669,-93.199424,120010,7667.736
68902005,44.963919,-93.197558,120011,7836.912
68902005,44.963310,-93.196014,120012,7976.267
68902005,44.963246,-93.195916,120013,7986.772
68902005,44.963062,-93.195465,120014,8027.812
68902005,44.962710,-93.194606,130002,8106.064
68902005,44.962708,-93.194511,130003,8113.563
68902005,44.962515,-93.194036,130004,8156.743
68902005,44.962459,-93.193895,130005,8169.490
68902005,44.962068,-93.192899,130006,8259.287
68902005,44.961255,-93.190861,130007,8443.728
68902005,44.961062,-93.190401,130008,8485.886
68902005,44.960764,-93.189664,130009,8552.805
68902005,44.959957,-93.187611,130010,8737.958
68902005,44.959809,-93.187272,130011,8769.358
68902005,44.958821,-93.184765,130012,8995.597
68902005,44.957830,-93.182289,130013,9219.866
68902005,44.956737,-93.179592,130014,9464.899
68902005,44.956400,-93.178731,130015,9542.476
68902005,44.956348,-93.178597,140002,9554.526
68902005,44.956170,-93.178178,140003,9593.054
68902005,44.955998,-93.177694,140004,9635.761
68902005,44.955915,-93.177425,140005,9658.905
68902005,44.955866,-93.177193,140006,9678.004
68902005,44.955731,-93.176505,140007,9734.327
68902005,44.955685,-93.176175,140008,9760.864
68902005,44.955658,-93.175907,140009,9782.223
68902005,44.955648,-93.175548,140010,9810.572
68902005,44.955662,-93.172087,140011,10083.676
68902005,44.955671,-93.169613,140012,10278.896
68902005,44.955672,-93.168613,140013,10357.804
